method:db:BMCdb:1	(5S\s+rRNA\s+Data\s+Bank)
method:db:BMCdb:2	(AAindex)|(Amino\s+Acid\s+Index\s+[Dd]ata[Bb]ase)
method:db:BMCdb:3	(ADAPT)|(Annotation\s+[Dd]ata[Bb]ase\s+for\s+Affymetrix\s+Probesets\s+and\s+Transcripts)
method:db:BMCdb:4	(AGT-SDP)|(Automatic\s+Generated\s+Test-Sets\s+[Dd]ata[Bb]ase\s+for\s+Protein-Protein\s+Docking)
method:db:BMCdb:5	(ALIGN)
method:db:BMCdb:6	(AmiGO)
method:db:BMCdb:7	(Archaeal\s+Histone\s+[Dd]ata[Bb]ase)
method:db:BMCdb:8	(ArkDB)|(The\s+Ark)
method:db:BMCdb:9	(ASAP)|(Alternative\s+Splicing\s+Annotation\s+Project\s+[Dd]ata[Bb]ase)
method:db:BMCdb:10	(ASTRAL)|(The\s+ASTRAL\s+Compendium\s+for\s+Sequence\s+and\s+Structure\s+Analysis)
method:db:BMCdb:11	(AtNoPDB)|(Arabidopsis\s+Nucleolar\s+Protein\s+[Dd]ata[Bb]ase)
method:db:BMCdb:12	(BAliBASE)|(A\s+Benchmark\s+Alignment\s+[Dd]ata[Bb]ase)
method:db:BMCdb:13	(BarleyBase)
method:db:BMCdb:14	(BIC)|(Breast\s+Cancer\s+Information\s+Core)
method:db:BMCdb:15	(Biolinks)
method:db:BMCdb:16	(BioMOBY)
method:db:BMCdb:17	(Bioverse)
method:db:BMCdb:18	(CATH)|(The\s+CATH\s+Protein\s+Structure\s+Classification)
method:db:BMCdb:19	(CDD)|(Conserved\s+Domain\s+[Dd]ata[Bb]ase)
method:db:BMCdb:20	(CEPH-Geneton\s+Integrated\s+Map)|(CEPH)|(Geneton\s+Integrated\s+Map)
method:db:BMCdb:21	(CGD)|(Candida\s+Genome\s+[Dd]ata[Bb]ase)
method:db:BMCdb:22	(CGR)|(A\s+Bibliography\s+on\s+Computational\s+Gene\s+Recognition)
method:db:BMCdb:23	(Chicken\s+Full-length\s+cDNA\s+[Dd]ata[Bb]ase)
method:db:BMCdb:24	(CLAN)
method:db:BMCdb:25	(CleanEx)
method:db:BMCdb:26	(CoC\s+Central)|(Conservation\s+of\s+Conservation)
method:db:BMCdb:27	(CODEHOP)|(Consensus-Degenerate\s+Hybrid\s+Oligonucleotide\s+Primers)
method:db:BMCdb:28	(Cogent)|(Complete\s+Genome\s+Tracking\s+[Dd]ata[Bb]ase)
method:db:BMCdb:29	(CR-EST)|(Crop\s+Expressed\s+Sequence\s+Tag\s+[Dd]ata[Bb]ase)
method:db:BMCdb:30	(CSRDB)|(Cereal\s+Small\s+RNAs\s+[Dd]ata[Bb]ase)
method:db:BMCdb:31	(CuticleDB)|(A\s+Relational\s+[Dd]ata[Bb]ase\s+of\s+Arthropod\s+Cuticular\s+Proteins)
method:db:BMCdb:32	(CYGD)|(Comprehensive\s+Yeast\s+Genome\s+[Dd]ata[Bb]ase)
method:db:BMCdb:33	([Dd]ata[Bb]ase\s+of\s+Genomic\s+Variants)
method:db:BMCdb:34	([Dd]ata[Bb]ase\s+of\s+Non-Coding\s+RNAs)
method:db:BMCdb:35	(DATF)|([Dd]ata[Bb]ase\s+of\s+Arabidopsis\s+Transcription\s+Factors)
